ID,Book,Chapter No.,Name,POV,Page,Chars Introduced
41,A Game of Thrones,40,Catelyn VII,Catelyn Tully,416,4
42,A Game of Thrones,41,Jon V,Jon Snow,429,6
43,A Game of Thrones,42,Tyrion VI,Tyrion Lannister,437,8
44,A Game of Thrones,43,Eddard XI,Eddard Stark,446,8
45,A Game of Thrones,44,Sansa III,Sansa Stark,455,2
46,A Game of Thrones,45,Eddard XII,Eddard Stark,463,2
47,A Game of Thrones,46,Daenerys V,Daenerys Targaryen,472,3
48,A Game of Thrones,47,Eddard XIII,Eddard Stark,484,3
49,A Game of Thrones,48,Jon VI,Jon Snow,497,3
50,A Game of Thrones,49,Eddard XIV,Eddard Stark,505,0
51,A Game of Thrones,50,Arya IV,Arya Stark,511,0
52,A Game of Thrones,51,Sansa IV,Sansa Stark,523,4
53,A Game of Thrones,52,Jon VII,Jon Snow,533,4
54,A Game of Thrones,53,Bran VI,Bran Stark,549,9
55,A Game of Thrones,54,Daenerys VI,Daenerys Targaryen,563,4
56,A Game of Thrones,55,Catelyn VIII,Catelyn Tully,575,2
57,A Game of Thrones,56,Tyrion VII,Tyrion Lannister,586,9
58,A Game of Thrones,57,Sansa V,Sansa Stark,596,6
59,A Game of Thrones,58,Eddard XV,Eddard Stark,605,1
60,A Game of Thrones,59,Catelyn IX,Catelyn Tully,614,4
61,A Game of Thrones,60,Jon VIII,Jon Snow,628,4
62,A Game of Thrones,61,Daenerys VII,Daenerys Targaryen,641,5
63,A Game of Thrones,62,Tyrion VIII,Tyrion Lannister,651,5
64,A Game of Thrones,63,Catelyn X,Catelyn Tully,670,9
65,A Game of Thrones,64,Daenerys VIII,Daenerys Targaryen,678,2
66,A Game of Thrones,65,Arya V,Arya Stark,692,1
67,A Game of Thrones,66,Bran VII,Bran Stark,705,9
68,A Game of Thrones,67,Sansa VI,Sansa Stark,716,0
69,A Game of Thrones,68,Daenerys IX,Daenerys Targaryen,726,0
70,A Game of Thrones,69,Tyrion IX,Tyrion Lannister,737,5
71,A Game of Thrones,70,Jon IX,Jon Snow,747,0
72,A Game of Thrones,71,Catelyn XI,Catelyn Tully,760,2
73,A Game of Thrones,72,Daenerys X,Daenerys Targaryen,772,0
74,A Game of Thrones,73,Appendix,N/A,783,85
75,A Clash of Kings,0,Prologue,Maester Cressen,1,18
76,A Clash of Kings,1,Arya I,Arya Stark,27,2
77,A Clash of Kings,2,Sansa I,Sansa Stark,34,4
78,A Clash of Kings,3,Tyrion I,Tyrion Lannister,47,1
79,A Clash of Kings,4,Bran I,Bran Stark,63,16
80,A Clash of Kings,5,Arya II,Arya Stark,73,14
81,A Clash of Kings,6,Jon I,Jon Snow,84,6
82,A Clash of Kings,7,Catelyn I,Catelyn Tully,97,2
83,A Clash of Kings,8,Tyrion II,Tyrion Lannister,111,2
84,A Clash of Kings,9,Arya III,Arya Stark,124,1
85,A Clash of Kings,10,Davos I,Davos Seaworth,132,14
86,A Clash of Kings,11,Theon I,Theon Greyjoy,149,7
87,A Clash of Kings,12,Daenerys I,Daenerys Targaryen,170,5
88,A Clash of Kings,13,Jon II,Jon Snow,185,5
89,A Clash of Kings,14,Arya IV,Arya Stark,192,5
90,A Clash of Kings,15,Tyrion III,Tyrion Lannister,207,4
91,A Clash of Kings,16,Bran II,Bran Stark,221,13
92,A Clash of Kings,17,Tyrion IV,Tyrion Lannister,238,2
93,A Clash of Kings,18,Sansa II,Sansa Stark,254,0
94,A Clash of Kings,19,Arya V,Arya Stark,263,1
95,A Clash of Kings,20,Tyrion V,Tyrion Lannister,279,5
96,A Clash of Kings,21,Bran III,Bran Stark,293,4
97,A Clash of Kings,22,Catelyn II,Catelyn Tully,303,14
98,A Clash of Kings,23,Jon III,Jon Snow,321,10
99,A Clash of Kings,24,Theon II,Theon Greyjoy,342,11
100,A Clash of Kings,25,Tyrion VI,Tyrion Lannister,360,1
101,A Clash of Kings,26,Arya VI,Arya Stark,375,8
102,A Clash of Kings,27,Daenerys II,Daenerys Targaryen,383,2
103,A Clash of Kings,28,Bran IV,Bran Stark,393,0
104,A Clash of Kings,29,Tyrion VII,Tyrion Lannister,403,2
105,A Clash of Kings,30,Arya VII,Arya Stark,413,10
106,A Clash of Kings,31,Catelyn III,Catelyn Tully,426,2
107,A Clash of Kings,32,Sansa III,Sansa Stark,440,4
108,A Clash of Kings,33,Catelyn IV,Catelyn Tully,449,3
109,A Clash of Kings,34,Jon IV,Jon Snow,459,0
110,A Clash of Kings,35,Bran V,Bran Stark,469,0
111,A Clash of Kings,36,Tyrion VIII,Tyrion Lannister,477,1
112,A Clash of Kings,37,Theon III,Theon Greyjoy,485,10
113,A Clash of Kings,38,Arya VIII,Arya Stark,494,3
114,A Clash of Kings,39,Catelyn V,Catelyn Tully,503,6
115,A Clash of Kings,40,Daenerys III,Daenerys Targaryen,519,3
116,A Clash of Kings,41,Tyrion IX,Tyrion Lannister,531,3
117,A Clash of Kings,42,Davos II,Davos Seaworth,546,4
118,A Clash of Kings,43,Jon V,Jon Snow,564,5
119,A Clash of Kings,44,Tyrion X,Tyrion Lannister,573,1
120,A Clash of Kings,45,Catelyn VI,Catelyn Tully,587,2
121,A Clash of Kings,46,Bran VI,Bran Stark,599,0
122,A Clash of Kings,47,Arya IX,Arya Stark,609,5
123,A Clash of Kings,48,Daenerys IV,Daenerys Targaryen,628,0
124,A Clash of Kings,49,Tyrion XI,Tyrion Lannister,640,2
125,A Clash of Kings,50,Theon IV,Theon Greyjoy,650,4
126,A Clash of Kings,51,Jon VI,Jon Snow,665,4
127,A Clash of Kings,52,Sansa IV,Sansa Stark,678,0
128,A Clash of Kings,53,Jon VII,Jon Snow,689,0
129,A Clash of Kings,54,Tyrion XII,Tyrion Lannister,698,0
130,A Clash of Kings,55,Catelyn VII,Catelyn Tully,708,3
131,A Clash of Kings,56,Theon V,Theon Greyjoy,723,2
132,A Clash of Kings,57,Sansa V,Sansa Stark,733,0
133,A Clash of Kings,58,Davos III,Davos Seaworth,740,1
134,A Clash of Kings,59,Tyrion XIII,Tyrion Lannister,756,1
135,A Clash of Kings,60,Sansa VI,Sansa Stark,763,0
136,A Clash of Kings,61,Tyrion XIV,Tyrion Lannister,770,0
137,A Clash of Kings,62,Sansa VII,Sansa Stark,778,0
138,A Clash of Kings,63,Daenerys V,Daenerys Targaryen,786,3
139,A Clash of Kings,64,Arya X,Arya Stark,800,5
140,A Clash of Kings,65,Sansa VIII,Sansa Stark,817,8
141,A Clash of Kings,66,Theon VI,Theon Greyjoy,827,6
142,A Clash of Kings,67,Tyrion XV,Tyrion Lannister,840,1
143,A Clash of Kings,68,Jon VIII,Jon Snow,850,1
144,A Clash of Kings,69,Bran VII,Bran Stark,862,18
145,A Clash of Kings,70,Appendix,N/A,877,169
146,A Storm of Swords,0,Prologue,Chett,1,15
147,A Storm of Swords,1,Jaime I,Jaime Lannister,18,0
148,A Storm of Swords,2,Catelyn I,Catelyn Tully,33,0
149,A Storm of Swords,3,Arya I,Arya Stark,43,1
150,A Storm of Swords,4,Tyrion I,Tyrion Lannister,53,0
151,A Storm of Swords,5,Davos I,Davos Seaworth,67,0
152,A Storm of Swords,6,Sansa I,Sansa Stark,75,13
153,A Storm of Swords,7,Jon I,Jon Snow,91,11
154,A Storm of Swords,8,Daenerys I,Daenerys Targaryen,105,5
155,A Storm of Swords,9,Bran I,Bran Stark,122,0
156,A Storm of Swords,10,Davos II,Davos Seaworth,133,7
157,A Storm of Swords,11,Jaime II,Jaime Lannister,146,3
158,A Storm of Swords,12,Tyrion II,Tyrion Lannister,161,4
159,A Storm of Swords,13,Arya II,Arya Stark,173,5
160,A Storm of Swords,14,Catelyn II,Catelyn Tully,188,6
161,A Storm of Swords,15,Jon II,Jon Snow,202,5
162,A Storm of Swords,16,Sansa II,Sansa Stark,220,2
163,A Storm of Swords,17,Arya III,Arya Stark,227,2
164,A Storm of Swords,18,Samwell I,Samwell Tarly,236,3
165,A Storm of Swords,19,Tyrion III,Tyrion Lannister,254,3
166,A Storm of Swords,20,Catelyn III,Catelyn Tully,273,2
167,A Storm of Swords,21,Jaime III,Jaime Lannister,285,1
168,A Storm of Swords,22,Arya IV,Arya Stark,298,6
169,A Storm of Swords,23,Daenerys II,Daenerys Targaryen,311,1
170,A Storm of Swords,24,Bran II,Bran Stark,331,0
171,A Storm of Swords,25,Davos III,Davos Seaworth,344,2
172,A Storm of Swords,26,Jon III,Jon Snow,355,2
173,A Storm of Swords,27,Daenerys III,Daenerys Targaryen,367,6
174,A Storm of Swords,28,Sansa III,Sansa Stark,382,0
175,A Storm of Swords,29,Arya V,Arya Stark,395,10
176,A Storm of Swords,30,Jon IV,Jon Snow,405,1
177,A Storm of Swords,31,Jaime IV,Jaime Lannister,413,1
178,A Storm of Swords,32,Tyrion IV,Tyrion Lannister,425,7
179,A Storm of Swords,33,Samwell II,Samwell Tarly,441,16
180,A Storm of Swords,34,Arya VI,Arya Stark,460,29
181,A Storm of Swords,35,Catelyn IV,Catelyn Tully,474,0
182,A Storm of Swords,36,Davos IV,Davos Seaworth,488,9
183,A Storm of Swords,37,Jaime V,Jaime Lannister,503,5
184,A Storm of Swords,38,Tyrion V,Tyrion Lannister,517,18
185,A Storm of Swords,39,Arya VII,Arya Stark,530,7
186,A Storm of Swords,40,Bran III,Bran Stark,545,1
187,A Storm of Swords,41,Jon V,Jon Snow,556,12
188,A Storm of Swords,42,Daenerys IV,Daenerys Targaryen,571,6
189,A Storm of Swords,43,Arya VIII,Arya Stark,590,4
190,A Storm of Swords,44,Jaime VI,Jaime Lannister,603,2
191,A Storm of Swords,45,Catelyn V,Catelyn Tully,620,4
192,A Storm of Swords,46,Samwell III,Samwell Tarly,637,1
193,A Storm of Swords,47,Arya IX,Arya Stark,648,2
194,A Storm of Swords,48,Jon VI,Jon Snow,659,1
195,A Storm of Swords,49,Catelyn VI,Catelyn Tully,670,3
196,A Storm of Swords,50,Arya X,Arya Stark,686,1
197,A Storm of Swords,51,Catelyn VII,Catelyn Tully,693,0
198,A Storm of Swords,52,Arya XI,Arya Stark,706,0
199,A Storm of Swords,53,Tyrion VI,Tyrion Lannister,711,0
200,A Storm of Swords,54,Davos V,Davos Seaworth,722,10
201,A Storm of Swords,55,Jon VII,Jon Snow,738,18
202,A Storm of Swords,56,Bran IV,Bran Stark,755,6
203,A Storm of Swords,57,Daenerys V,Daenerys Targaryen,774,3
204,A Storm of Swords,58,Tyrion VII,Tyrion Lannister,793,1
205,A Storm of Swords,59,Sansa IV,Sansa Stark,799,1
206,A Storm of Swords,60,Tyrion VIII,Tyrion Lannister,809,2
207,A Storm of Swords,61,Sansa V,Sansa Stark,832,1
208,A Storm of Swords,62,Jaime VII,Jaime Lannister,842,5
209,A Storm of Swords,63,Davos VI,Davos Seaworth,857,4
210,A Storm of Swords,64,Jon VIII,Jon Snow,868,4
211,A Storm of Swords,65,Arya XII,Arya Stark,883,0
212,A Storm of Swords,66,Tyrion IX,Tyrion Lannister,894,0
213,A Storm of Swords,67,Jaime VIII,Jaime Lannister,912,13
214,A Storm of Swords,68,Sansa VI,Sansa Stark,927,5
215,A Storm of Swords,69,Jon IX,Jon Snow,946,4
216,A Storm of Swords,70,Tyrion X,Tyrion Lannister,960,1
217,A Storm of Swords,71,Daenerys VI,Daenerys Targaryen,977,2
218,A Storm of Swords,72,Jaime IX,Jaime Lannister,996,1
219,A Storm of Swords,73,Jon X,Jon Snow,1011,2
220,A Storm of Swords,74,Arya XIII,Arya Stark,1027,0
221,A Storm of Swords,75,Samwell IV,Samwell Tarly,1042,1
222,A Storm of Swords,76,Jon XI,Jon Snow,1053,0
223,A Storm of Swords,77,Tyrion XI,Tyrion Lannister,1062,2
224,A Storm of Swords,78,Samwell V,Samwell Tarly,1074,1
225,A Storm of Swords,79,Jon XII,Jon Snow,1087,1
226,A Storm of Swords,80,Sansa VII,Sansa Stark,1098,0
227,A Storm of Swords,81,Epilogue,Merrett Frey,1116,1
228,A Storm of Swords,82,Appendix,N/A,1129,86
229,A Feast for Crows,0,Prologue,Pate,1,14
230,A Feast for Crows,1,The Prophet,Aeron Greyjoy,18,22
231,A Feast for Crows,2,The Captain of Guards,Areo Hotah,33,6
232,A Feast for Crows,3,Cersei I,Cersei Lannister,51,5
233,A Feast for Crows,4,Brienne I,Brienne of Tarth,63,9
234,A Feast for Crows,5,Samwell I,Samwell Tarly,80,5
235,A Feast for Crows,6,Arya I,Arya Stark,98,4
236,A Feast for Crows,7,Cersei II,Cersei Lannister,111,3
237,A Feast for Crows,8,Jaime I,Jaime Lannister,130,3
238,A Feast for Crows,9,Brienne II,Brienne of Tarth,146,11
239,A Feast for Crows,10,Sansa I,Sansa Stark,163,6
240,A Feast for Crows,11,The Kraken's Daughter,Asha Greyjoy,178,24
241,A Feast for Crows,12,Cersei III,Cersei Lannister,193,6
242,A Feast for Crows,13,The Soiled Knight,Arys Oakheart,208,9
243,A Feast for Crows,14,Brienne III,Brienne of Tarth,224,11
244,A Feast for Crows,15,Samwell II,Samwell Tarly,242,2
245,A Feast for Crows,16,Jaime II,Jaime Lannister,254,14
246,A Feast for Crows,17,Cersei IV,Cersei Lannister,267,4
247,A Feast for Crows,18,The Iron Captain,Victarion Greyjoy,286,15
248,A Feast for Crows,19,The Drowned Man,Aeron Greyjoy,299,11
249,A Feast for Crows,20,Brienne IV,Brienne of Tarth,314,8
250,A Feast for Crows,21,The Queenmaker,Arianne Martell,335,9
251,A Feast for Crows,22,Arya II,Arya Stark,350,11
252,A Feast for Crows,23,Alayne II,Sansa Stark,368,9
253,A Feast for Crows,24,Cersei V,Cersei Lannister,386,4
254,A Feast for Crows,25,Brienne V,Brienne of Tarth,407,5
255,A Feast for Crows,26,Samwell III,Samwell Tarly,423,5
256,A Feast for Crows,27,Jaime III,Jaime Lannister,439,3
257,A Feast for Crows,28,Cersei VI,Cersei Lannister,461,5
258,A Feast for Crows,29,The Reaver,Victarion Greyjoy,480,6
259,A Feast for Crows,30,Jaime IV,Jaime Lannister,501,3
260,A Feast for Crows,31,Brienne VI,Brienne of Tarth,519,8
261,A Feast for Crows,32,Cersei VII,Cersei Lannister,534,4
262,A Feast for Crows,33,Jaime V,Jaime Lannister,550,3
263,A Feast for Crows,34,Cat of the Canals III,Arya Stark,569,34
264,A Feast for Crows,35,Samwell IV,Samwell Tarly,586,1
265,A Feast for Crows,36,Cersei VIII,Cersei Lannister,597,2
266,A Feast for Crows,37,Brienne VII,Brienne of Tarth,617,9
267,A Feast for Crows,38,Jaime VI,Jaime Lannister,635,0
268,A Feast for Crows,39,Cersei IX,Cersei Lannister,650,1
269,A Feast for Crows,40,The Princess in the Tower,Arianne Martell,665,11
270,A Feast for Crows,41,Alayne III,Sansa Stark,686,10
271,A Feast for Crows,42,Brienne VIII,Brienne of Tarth,712,0
272,A Feast for Crows,43,Cersei X,Cersei Lannister,728,7
273,A Feast for Crows,44,Jaime VII,Jaime Lannister,746,1
274,A Feast for Crows,45,Samwell V,Samwell Tarly,762,7
275,A Feast for Crows,46,Appendix,N/A,779,39
276,A Dance with Dragons,0,Prologue,Varamyr Sixskins,3,8
277,A Dance with Dragons,1,Tyrion I,Tyrion Lannister,16,2
278,A Dance with Dragons,2,Daenerys I,Daenerys Targaryen,31,6
279,A Dance with Dragons,3,Jon I,Jon Snow,46,2
280,A Dance with Dragons,4,A Dance with Dragons-Chapter 4,Bran Stark,60,0
281,A Dance with Dragons,5,Tyrion II,Tyrion Lannister,71,4
282,A Dance with Dragons,6,The Merchant's Man,Quentyn Martell,83,5
283,A Dance with Dragons,7,Jon II,Jon Snow,95,5
284,A Dance with Dragons,8,Tyrion III,Tyrion Lannister,112,14
285,A Dance with Dragons,9,Davos I,Davos Seaworth,123,2
286,A Dance with Dragons,10,Jon III,Jon Snow,134,3
287,A Dance with Dragons,11,Daenerys II,Daenerys Targaryen,148,16
288,A Dance with Dragons,12,Reek I,Theon Greyjoy,161,6
289,A Dance with Dragons,13,Bran II,Bran Stark,169,0
290,A Dance with Dragons,14,Tyrion IV,Tyrion Lannister,179,5
291,A Dance with Dragons,15,Davos II,Davos Seaworth,192,1
292,A Dance with Dragons,16,Daenerys III,Daenerys Targaryen,203,4
293,A Dance with Dragons,17,Jon IV,Jon Snow,218,3
294,A Dance with Dragons,18,Tyrion V,Tyrion Lannister,232,0
295,A Dance with Dragons,19,Davos III,Davos Seaworth,243,3
296,A Dance with Dragons,20,Reek II,Theon Greyjoy,253,5
297,A Dance with Dragons,21,Jon V,Jon Snow,267,3
298,A Dance with Dragons,22,Tyrion VI,Tyrion Lannister,276,3
299,A Dance with Dragons,23,Daenerys IV,Daenerys Targaryen,293,8
300,A Dance with Dragons,24,The Lost Lord,Jon Connington,306,9
301,A Dance with Dragons,25,The Windblown,Quentyn Martell,320,29
302,A Dance with Dragons,26,The Wayward Bride,Asha Greyjoy,332,14
303,A Dance with Dragons,27,Tyrion VII,Tyrion Lannister,351,9
304,A Dance with Dragons,28,Jon VI,Jon Snow,372,1
305,A Dance with Dragons,29,Davos IV,Davos Seaworth,382,7
306,A Dance with Dragons,30,Daenerys V,Daenerys Targaryen,395,3
307,A Dance with Dragons,31,Melisandre I,Melisandre,407,3
308,A Dance with Dragons,32,Reek III,Theon Greyjoy,420,6
309,A Dance with Dragons,33,Tyrion VIII,Tyrion Lannister,434,3
310,A Dance with Dragons,34,Bran III,Bran Stark,448,6
311,A Dance with Dragons,35,Jon VII,Jon Snow,461,6
312,A Dance with Dragons,36,Daenerys VI,Daenerys Targaryen,473,0
313,A Dance with Dragons,37,The Prince of Winterfell,Theon Greyjoy,484,5
314,A Dance with Dragons,38,The Watcher,Areo Hotah,500,1
315,A Dance with Dragons,39,Jon VIII,Jon Snow,514,1
316,A Dance with Dragons,40,Tyrion IX,Tyrion Lannister,524,0
317,A Dance with Dragons,41,The Turncloak,Theon Greyjoy,536,4
318,A Dance with Dragons,42,The King's Prize,Asha Greyjoy,549,11
319,A Dance with Dragons,43,Daenerys VII,Daenerys Targaryen,564,1
320,A Dance with Dragons,44,Jon IX,Jon Snow,579,11
321,A Dance with Dragons,45,The Blind Girl,Arya Stark,593,2
322,A Dance with Dragons,46,A Ghost in Winterfell,Theon Greyjoy,605,1
323,A Dance with Dragons,47,Tyrion X,Tyrion Lannister,618,3
324,A Dance with Dragons,48,Jaime I,Jaime Lannister,632,12
325,A Dance with Dragons,49,Jon X,Jon Snow,647,1
326,A Dance with Dragons,50,Daenerys VIII,Daenerys Targaryen,661,3
327,A Dance with Dragons,51,Theon I,Theon Greyjoy,673,3
328,A Dance with Dragons,52,Daenerys IX,Daenerys Targaryen,687,0
329,A Dance with Dragons,53,Jon XI,Jon Snow,700,0
330,A Dance with Dragons,54,Cersei I,Cersei Lannister,717,0
331,A Dance with Dragons,55,The Queensguard,Barristan Selmy,730,1
332,A Dance with Dragons,56,The Iron Suitor,Victarion Greyjoy,741,5
333,A Dance with Dragons,57,Tyrion XI,Tyrion Lannister,754,5
334,A Dance with Dragons,58,Jon XII,Jon Snow,769,13
335,A Dance with Dragons,59,The Discarded Knight,Barristan Selmy,783,1
336,A Dance with Dragons,60,The Spurned Suitor,Quentyn Martell,793,0
337,A Dance with Dragons,61,The Griffin Reborn,Jon Connington,801,9
338,A Dance with Dragons,62,The Sacrifice,Asha Greyjoy,814,7
339,A Dance with Dragons,63,Victarion I,Victarion Greyjoy,827,3
340,A Dance with Dragons,64,The Ugly Little Girl,Arya Stark,835,1
341,A Dance with Dragons,65,Cersei II,Cersei Lannister,848,1
342,A Dance with Dragons,66,Tyrion XII,Tyrion Lannister,860,6
343,A Dance with Dragons,67,The Kingbreaker,Barristan Selmy,872,12
344,A Dance with Dragons,68,The Dragontamer,Quentyn Martell,887,0
345,A Dance with Dragons,69,Jon XIII,Jon Snow,899,3
346,A Dance with Dragons,70,The Queen's Hand,Barristan Selmy,914,3
347,A Dance with Dragons,71,Daenerys X,Daenerys Targaryen,929,0
348,A Dance with Dragons,72,Epilogue,Kevan Lannister,944,0
349,A Dance with Dragons,73,Appendix,N/A,959,51
