ID,Character,Gender,Alive,Title,Forename,Surname,Old Surname,Alias,Book,Page,Chapter Name,POV
22,Maester Luwin,M,D,Maester,Luwin,,,,A Game of Thrones,22,Catelyn I,Catelyn Tully
23,Lord Jon Arryn,M,D,Lord,Jon,Arryn,,,A Game of Thrones,22,Catelyn I,Catelyn Tully
24,"King Aerys II Targaryen, The Mad King",M,D,King,Aerys,Targaryen,,The Mad King,A Game of Thrones,22,Catelyn I,Catelyn Tully
25,Lord Hoster Tully,M,D,Lord,Hoster,Tully,,,A Game of Thrones,22,Catelyn I,Catelyn Tully
26,Grand Maester Pycelle,M,D,Grand Maester,Pycelle,,,,A Game of Thrones,22,Catelyn I,Catelyn Tully
27,Robert Arryn,M,A,,Robert,Arryn,,Sweetrobin,A Game of Thrones,22,Catelyn I,Catelyn Tully
28,"Ser Brynden Tully, Blackfish",M,A,Ser,Brynden,Tully,,Blackfish,A Game of Thrones,23,Catelyn I,Catelyn Tully
29,Benjen Stark,M,U,,Benjen,Stark,,,A Game of Thrones,23,Catelyn I,Catelyn Tully
30,Lady Lysa Arryn (Tully),F,D,Lady,Lysa,Arryn,Tully,,A Game of Thrones,23,Catelyn I,Catelyn Tully
31,Queen Cersei Lannister,F,A,Queen,Cersei,Lannister,,,A Game of Thrones,23,Catelyn I,Catelyn Tully
32,Prince Tommen Baratheon,M,A,Prince,Tommen,Baratheon,,,A Game of Thrones,24,Catelyn I,Catelyn Tully
33,"Princess Daenerys Targaryen, Stormborn",F,A,Princess,Daenerys,Targaryen,,Stormborn,A Game of Thrones,25,Daenerys I,Daenerys Targaryen
34,Magister Illyrio Mopatis,M,A,Magister,Illyrio,Mopatis,,,A Game of Thrones,25,Daenerys I,Daenerys Targaryen
35,"Prince Viserys Targaryen, The Beggar King",M,D,Prince,Viserys,Targaryen,,The Beggar King,A Game of Thrones,25,Daenerys I,Daenerys Targaryen
36,Khal Drogo,M,D,Khal,Drogo,,,,A Game of Thrones,26,Daenerys I,Daenerys Targaryen
37,Prince Rhaegar Targaryen,M,D,Prince,Rhaegar,Targaryen,,,A Game of Thrones,27,Daenerys I,Daenerys Targaryen
38,Princess Elia Martell,F,D,Princess,Elia,Martell,,,A Game of Thrones,27,Daenerys I,Daenerys Targaryen
39,Ser Willem Darry,M,D,Ser,Willem,Darry,,,A Game of Thrones,27,Daenerys I,Daenerys Targaryen
40,"King Aegon I Targaryen, The Conqueror/The Dragon",M,D,King,Aegon,Targaryen,,The Conqueror/The Dragon,A Game of Thrones,29,Daenerys I,Daenerys Targaryen
41,Khal Moro,M,A,Khal,Moro,,,,A Game of Thrones,33,Daenerys I,Daenerys Targaryen
42,Khalakka Rhogoro,M,A,Khalakka,Rhogoro,,,,A Game of Thrones,33,Daenerys I,Daenerys Targaryen
43,Ser Jorah Mormont,M,A,Ser,Jorah,Mormont,,,A Game of Thrones,33,Daenerys I,Daenerys Targaryen
44,"Ser Jaime Lannister, Kingslayer",M,A,Ser,Jaime,Lannister,,Kingslayer,A Game of Thrones,36,Eddard I,Eddard Stark
45,"Sandor Clegane, The Hound",M,U,,Sandor,Clegane,,The Hound,A Game of Thrones,36,Eddard I,Eddard Stark
46,"Tyrion Lannister, The Imp",M,A,,Tyrion,Lannister,,The Imp,A Game of Thrones,36,Eddard I,Eddard Stark
47,Lord Balon Greyjoy,M,D,Lord,Balon,Greyjoy,,,A Game of Thrones,37,Eddard I,Eddard Stark
48,Lord Rickard Stark,M,D,Lord,Rickard,Stark,,,A Game of Thrones,40,Eddard I,Eddard Stark
49,Lyanna Stark,F,D,,Lyanna,Stark,,,A Game of Thrones,40,Eddard I,Eddard Stark
50,Lord Howland Reed,M,A,Lord,Howland,Reed,,,A Game of Thrones,40,Eddard I,Eddard Stark
51,Lord Tywin Lannister,M,D,Lord,Tywin,Lannister,,,A Game of Thrones,41,Eddard I,Eddard Stark
52,Prince Joffrey Baratheon,M,D,Prince,Joffrey,Baratheon,,,A Game of Thrones,45,Eddard I,Eddard Stark
53,Princess Myrcella Baratheon,F,A,Princess,Myrcella,Baratheon,,,A Game of Thrones,47,Jon I,Jon Snow
54,"Prince Daeron Targaryen, The Drunken",M,D,Prince,Daeron,Targaryen,,The Drunken,A Game of Thrones,51,Jon I,Jon Snow
55,Ser Edmure Tully,M,A,Ser,Edmure,Tully,,,A Game of Thrones,55,Catelyn II,Catelyn Tully
56,"Brandon Stark, Brother of Eddard",M,D,,Brandon,Stark,,Brother of Eddard,A Game of Thrones,56,Catelyn II,Catelyn Tully
57,"Ser Arthur Dayne, Sword of the Morning",M,D,Ser,Arthur,Dayne,,Sword of the Morning,A Game of Thrones,62,Catelyn II,Catelyn Tully
58,Lady Ashara Dayne,F,D,Lady,Ashara,Dayne,,,A Game of Thrones,62,Catelyn II,Catelyn Tully
59,Septa Mordane,F,D,Septa,Mordane,,,,A Game of Thrones,64,Arya I,Arya Stark
60,Beth Cassel,F,A,,Beth,Cassel,,,A Game of Thrones,64,Arya I,Arya Stark
61,Lew,M,U,,Lew,,,,A Game of Thrones,69,Arya I,Arya Stark
62,Donnis,M,U,,Donnis,,,,A Game of Thrones,69,Arya I,Arya Stark
63,"Ser Serwyn, Of the Mirror Shield",M,D,Ser,Serwyn,,,Of the Mirror Shield,A Game of Thrones,73,Bran II,Bran Stark
64,Ser Ryam Redwyne,M,D,Ser,Ryam,Redwyne,,,A Game of Thrones,73,Bran II,Bran Stark
65,"Prince Aemon Targaryen, The Dragonknight",M,D,Prince,Aemon,Targaryen,,The Dragonknight,A Game of Thrones,73,Bran II,Bran Stark
66,Ser Erryk Cargyll,M,D,Ser,Erryk,Cargyll,,,A Game of Thrones,73,Bran II,Bran Stark
67,Ser Arryk Cargyll,M,D,Ser,Arryk,Cargyll,,,A Game of Thrones,73,Bran II,Bran Stark
68,"Ser Gerold Hightower, The White Bull",M,D,Ser,Gerold,Hightower,,The White Bull,A Game of Thrones,73,Bran II,Bran Stark
69,Ser Barristan Selmy,M,A,Ser,Barristan,Selmy,,,A Game of Thrones,73,Bran II,Bran Stark
70,Ser Boros Blount,M,A,Ser,Boros,Blount,,,A Game of Thrones,73,Bran II,Bran Stark
71,Gage,M,U,,Gage,,,,A Game of Thrones,73,Bran II,Bran Stark
72,Mikken,M,D,,Mikken,,,,A Game of Thrones,73,Bran II,Bran Stark
73,"Walder, Hodor",M,A,,Walder,,,Hodor,A Game of Thrones,73,Bran II,Bran Stark
74,Stannis Baratheon,M,U,,Stannis,Baratheon,,,A Game of Thrones,78,Bran II,Bran Stark
75,Renly Baratheon,M,D,,Renly,Baratheon,,,A Game of Thrones,78,Bran II,Bran Stark
76,"Lord Petyr Baelish, Littlefinger",M,A,Lord,Petyr,Baelish,,Littlefinger,A Game of Thrones,78,Bran II,Bran Stark
77,Grand Maester Aethelmure,M,D,Grand Maester,Aethelmure,,,,A Game of Thrones,82,Tyrion I,Tyrion Lannister
78,Septon Chayle,M,D,Septon,Chayle,,,,A Game of Thrones,82,Tyrion I,Tyrion Lannister
79,Ayrmidon,M,D,,Ayrmidon,,,,A Game of Thrones,82,Tyrion I,Tyrion Lannister
80,Irri,F,A,,Irri,,,,A Game of Thrones,98,Daenerys II,Daenerys Targaryen
81,Jhiqui,F,A,,Jhiqui,,,,A Game of Thrones,98,Daenerys II,Daenerys Targaryen
82,Doreah,F,D,,Doreah,,,,A Game of Thrones,98,Daenerys II,Daenerys Targaryen
83,Haggo,M,D,,Haggo,,,,A Game of Thrones,99,Daenerys II,Daenerys Targaryen
84,Ko Cohollo,M,D,Ko,Cohollo,,,,A Game of Thrones,99,Daenerys II,Daenerys Targaryen
85,Qotho,M,D,,Qotho,,,,A Game of Thrones,99,Daenerys II,Daenerys Targaryen
86,"Alyn, Guard at Winterfell",M,D,,Alyn,,,Guard at Winterfell,A Game of Thrones,104,Eddard II,Eddard Stark
87,Wylla,F,U,,Wylla,,,,A Game of Thrones,105,Eddard II,Eddard Stark
88,"King Baelor I Targaryen, The Blessed",M,D,King,Baelor,Targaryen,,The Blessed,A Game of Thrones,106,Eddard II,Eddard Stark
89,"Varys, The Spider",M,A,,Varys,,,The Spider,A Game of Thrones,106,Eddard II,Eddard Stark
90,Yoren,M,D,,Yoren,,,,A Game of Thrones,114,Tyrion II,Tyrion Lannister
91,"King Loren, Of the Rock",M,D,King,Loren,,,Of the Rock,A Game of Thrones,117,Tyrion II,Tyrion Lannister
92,"King Mern, Of the Reach",M,D,King,Mern,,,Of the Reach,A Game of Thrones,117,Tyrion II,Tyrion Lannister
93,Morrec,M,D,,Morrec,,,,A Game of Thrones,121,Tyrion II,Tyrion Lannister
94,Vayon Poole,M,D,,Vayon,Poole,,,A Game of Thrones,123,Catelyn III,Catelyn Tully
95,Hallis Mollen,M,U,,Hallis,Mollen,,,A Game of Thrones,128,Catelyn III,Catelyn Tully
96,Mycah,M,D,,Mycah,,,,A Game of Thrones,134,Sansa I,Sansa Stark
97,Ser Ilyn Payne,M,A,Ser,Ilyn,Payne,,,A Game of Thrones,140,Sansa I,Sansa Stark
98,Princess Daeryssa,F,F,Princess,Daeryssa,,,,A Game of Thrones,141,Sansa I,Sansa Stark
99,Queen Naerys Targaryen,F,D,Queen,Naerys,Targaryen,,,A Game of Thrones,142,Sansa I,Sansa Stark
100,Ser Morgil,M,D,Ser,Morgil,,,,A Game of Thrones,142,Sansa I,Sansa Stark
101,Lord Raymun Darry,M,D,Lord,Raymun,Darry,,,A Game of Thrones,148,Eddard III,Eddard Stark
102,Captain Moreo Tumitis,M,A,Captain,Moreo,Tumitis,,,A Game of Thrones,159,Catelyn IV,Catelyn Tully
103,Ser Aron Santagar,M,D,Ser,Aron,Santagar,,,A Game of Thrones,160,Catelyn IV,Catelyn Tully
104,"King Maegor I Targaryen, The Cruel",M,D,King,Maegor,Targaryen,,The Cruel,A Game of Thrones,162,Catelyn IV,Catelyn Tully
105,"Ser Loras Tyrell, Knight of Flowers",M,U,Ser,Loras,Tyrell,,Knight of Flowers,A Game of Thrones,169,Catelyn IV,Catelyn Tully
106,"Grenn, Aurochs",M,A,,Grenn,,,Aurochs,A Game of Thrones,170,Jon III,Jon Snow
107,Ser Alliser Thorne,M,U,Ser,Alliser,Thorne,,,A Game of Thrones,170,Jon III,Jon Snow
108,Jeren,M,U,,Jeren,,,,A Game of Thrones,170,Jon III,Jon Snow
109,"Todder, Toad",M,A,,Todder,,,Toad,A Game of Thrones,170,Jon III,Jon Snow
110,Dareon,M,D,,Dareon,,,,A Game of Thrones,171,Jon III,Jon Snow
111,"Pypar, Pyp",M,A,,Pypar,,,Pyp,A Game of Thrones,171,Jon III,Jon Snow
112,"Halder, Stone Head",M,A,,Halder,,,Stone Head,A Game of Thrones,171,Jon III,Jon Snow
113,"Lord Commander Jeor Mormont, The Old Bear",M,D,Lord Commander,Jeor,Mormont,,The Old Bear,A Game of Thrones,172,Jon III,Jon Snow
114,Maester Aemon (Targaryen),M,D,Maester,Aemon,,Targaryen,,A Game of Thrones,172,Jon III,Jon Snow
115,Donal Noye,M,D,,Donal,Noye,,,A Game of Thrones,174,Jon III,Jon Snow
116,Cotter Pyke,M,A,,Cotter,Pyke,,,A Game of Thrones,175,Jon III,Jon Snow
117,Bowen Marsh,M,A,,Bowen,Marsh,,,A Game of Thrones,178,Jon III,Jon Snow
118,Lord Mace Tyrell,M,A,Lord,Mace,Tyrell,,,A Game of Thrones,188,Eddard IV,Eddard Stark
119,The Fat One,M,D,High Septon,,,,The Fat One,A Game of Thrones,188,Eddard IV,Eddard Stark
120,Ser Helman Tallhart,M,D,Ser,Helman,Tallhart,,,A Game of Thrones,195,Eddard IV,Eddard Stark
121,Lord Galbart Glover,M,U,Lord,Galbart,Glover,,,A Game of Thrones,195,Eddard IV,Eddard Stark
122,Lord Wyman Manderly,M,A,Lord,Wyman,Manderly,,,A Game of Thrones,195,Eddard IV,Eddard Stark
123,Ser Jaremy Rykker,M,D,Ser,Jaremy,Rykker,,,A Game of Thrones,198,Tyrion III,Tyrion Lannister
124,Jyck,M,D,,Jyck,,,,A Game of Thrones,200,Tyrion III,Tyrion Lannister
125,Lady Maege Mormont,F,A,Lady,Maege,Mormont,,,A Game of Thrones,200,Tyrion III,Tyrion Lannister
126,"Lord Yohn Royce, Bronze Yohn",M,A,Lord,Yohn,Royce,,Bronze Yohn,A Game of Thrones,200,Tyrion III,Tyrion Lannister
127,Ser Denys Mallister,M,A,Ser,Denys,Mallister,,,A Game of Thrones,202,Tyrion III,Tyrion Lannister
128,Jeyne Poole,F,A,,Jeyne,Poole,,,A Game of Thrones,210,Arya II,Arya Stark
129,Jacks,M,U,,Jacks,,,,A Game of Thrones,210,Arya II,Arya Stark
130,Porther,M,D,,Porther,,,,A Game of Thrones,210,Arya II,Arya Stark
131,"Tomard, Fat Tom",M,D,,Tomard,,,Fat Tom,A Game of Thrones,211,Arya II,Arya Stark
132,Syrio Forel,M,U,,Syrio,Forel,,,A Game of Thrones,218,Arya II,Arya Stark
133,"King Aegon III Targaryen, Dragonbane/The Younger",M,D,King,Aegon,Targaryen,,Dragonbane/The Younger,A Game of Thrones,227,Daenerys III,Daenerys Targaryen
134,King Maekar I Targaryen,M,D,King,Maekar,Targaryen,,,A Game of Thrones,243,Eddard V,Eddard Stark
135,Maester Colemon,M,A,Maester,Colemon,,,,A Game of Thrones,244,Eddard V,Eddard Stark
136,King Jaehaerys II Targaryen,M,D,King,Jaehaerys,Targaryen,,,A Game of Thrones,245,Eddard V,Eddard Stark
137,"King Aegon V Targaryen, The Fortunate/The Unlikely",M,D,King,Aegon,Targaryen,,The Fortunate/The Unlikely,A Game of Thrones,245,Eddard V,Eddard Stark
138,Grand Maester Malleon,M,D,Grand Maester,Malleon,,,,A Game of Thrones,246,Eddard V,Eddard Stark
139,"Ser Hugh, Of the Vale",M,D,Ser,Hugh,,,Of the Vale,A Game of Thrones,249,Eddard V,Eddard Stark
140,Rast,M,D,,Rast,,,,A Game of Thrones,252,Jon IV,Jon Snow
141,Albett,M,A,,Albett,,,,A Game of Thrones,253,Jon IV,Jon Snow
142,Samwell Tarly,M,A,,Samwell,Tarly,,,A Game of Thrones,254,Jon IV,Jon Snow
143,Lord Randyll Tarly,M,A,Lord,Randyll,Tarly,,,A Game of Thrones,254,Jon IV,Jon Snow
144,"Qhorin, Halfhand",M,D,,Qhorin,,,Halfhand,A Game of Thrones,259,Jon IV,Jon Snow
145,Lord Mathis Rowan,M,A,Lord,Mathis,Rowan,,,A Game of Thrones,261,Jon IV,Jon Snow
146,Janos Slynt,M,D,,Janos,Slynt,,,A Game of Thrones,264,Eddard VI,Eddard Stark
147,"Lann, The Clever",M,F,,Lann,,,The Clever,A Game of Thrones,266,Eddard VI,Eddard Stark
148,Lady Margaery Tyrell,F,A,Lady,Margaery,Tyrell,,,A Game of Thrones,268,Eddard VI,Eddard Stark
149,Varly,M,D,,Varly,,,,A Game of Thrones,269,Eddard VI,Eddard Stark
150,"Lord Beric Dondarrion, The Lightning Lord",M,D,Lord,Beric,Dondarrion,,The Lightning Lord,A Game of Thrones,270,Eddard VI,Eddard Stark
151,Tobho Mott,M,A,,Tobho,Mott,,,A Game of Thrones,271,Eddard VI,Eddard Stark
152,Gendry,M,A,,Gendry,,,,A Game of Thrones,272,Eddard VI,Eddard Stark
153,Masha Heddle,F,D,,Masha,Heddle,,,A Game of Thrones,276,Catelyn V,Catelyn Tully
154,Lord Jason Mallister,M,A,Lord,Jason,Mallister,,,A Game of Thrones,276,Catelyn V,Catelyn Tully
155,Patrek Mallister,M,A,,Patrek,Mallister,,,A Game of Thrones,276,Catelyn V,Catelyn Tully
156,Lady Shella Whent,F,D,Lady,Shella,Whent,,,A Game of Thrones,278,Catelyn V,Catelyn Tully
157,"Lord Walder Frey, The Late Lord Frey",M,A,Lord,Walder,Frey,,The Late Lord Frey,A Game of Thrones,278,Catelyn V,Catelyn Tully
158,Marillion,M,D,,Marillion,,,,A Game of Thrones,280,Catelyn V,Catelyn Tully
159,"Alia, Of Braavos",F,A,,Alia,,,Of Braavos,A Game of Thrones,280,Catelyn V,Catelyn Tully
160,Lord Jonos Bracken,M,A,Lord,Jonos,Bracken,,,A Game of Thrones,283,Catelyn V,Catelyn Tully
161,"Ser Gregor Clegane, The Mountain that Rides",M,D,Ser,Gregor,Clegane,,The Mountain that Rides,A Game of Thrones,284,Sansa II,Sansa Stark
162,"Thoros, Of Myr",M,A,,Thoros,,,Of Myr,A Game of Thrones,285,Sansa II,Sansa Stark
163,Ser Balon Swann,M,A,Ser,Balon,Swann,,,A Game of Thrones,285,Sansa II,Sansa Stark
164,Lord Bryce Caron,M,D,Lord,Bryce,Caron,,,A Game of Thrones,285,Sansa II,Sansa Stark
165,Ser Andar Royce,M,A,Ser,Andar,Royce,,,A Game of Thrones,285,Sansa II,Sansa Stark
166,Ser Robar Royce,M,D,Ser,Robar,Royce,,,A Game of Thrones,285,Sansa II,Sansa Stark
167,"Ser Horas Redwyne, Horror",M,A,Ser,Horas,Redwyne,,Horror,A Game of Thrones,285,Sansa II,Sansa Stark
168,"Ser Hobber Redwyne, Slobber",M,A,Ser,Hobber,Redwyne,,Slobber,A Game of Thrones,285,Sansa II,Sansa Stark
169,Ser Jared Frey,M,D,Ser,Jared,Frey,,,A Game of Thrones,285,Sansa II,Sansa Stark
170,Ser Hosteen Frey,M,A,Ser,Hosteen,Frey,,,A Game of Thrones,285,Sansa II,Sansa Stark
171,Ser Danwell Frey,M,A,Ser,Danwell,Frey,,,A Game of Thrones,285,Sansa II,Sansa Stark
172,Ser Emmon Frey,M,A,Ser,Emmon,Frey,,,A Game of Thrones,285,Sansa II,Sansa Stark
173,Ser Theo Frey,M,U,Ser,Theo,Frey,,,A Game of Thrones,285,Sansa II,Sansa Stark
174,Martyn Rivers,M,U,,Martyn,Rivers,,,A Game of Thrones,285,Sansa II,Sansa Stark
175,Jalabhar Xho,M,A,,Jalabhar,Xho,,,A Game of Thrones,285,Sansa II,Sansa Stark
176,Lothor Brune,M,A,,Lothor,Brune,,,A Game of Thrones,285,Sansa II,Sansa Stark
177,Moon Boy,M,A,,Moon Boy,,,,A Game of Thrones,290,Sansa II,Sansa Stark
178,Lancel Lannister,M,A,,Lancel,Lannister,,,A Game of Thrones,297,Eddard VII,Eddard Stark
179,Dacks,M,U,,Dacks,,,,A Game of Thrones,301,Eddard VII,Eddard Stark
180,Anguy,M,U,,Anguy,,,,A Game of Thrones,306,Eddard VII,Eddard Stark
181,Cayn,M,D,,Cayn,,,,A Game of Thrones,310,Eddard VII,Eddard Stark
182,Chiggen,M,D,,Chiggen,,,,A Game of Thrones,314,Tyrion IV,Tyrion Lannister
183,Bronn,M,A,,Bronn,,,,A Game of Thrones,314,Tyrion IV,Tyrion Lannister
184,Mohor,M,D,,Mohor,,,,A Game of Thrones,319,Tyrion IV,Tyrion Lannister
185,Ser Willis Wode,M,A,Ser,Willis,Wode,,,A Game of Thrones,319,Tyrion IV,Tyrion Lannister
186,Kurleket,M,D,,Kurleket,,,,A Game of Thrones,319,Tyrion IV,Tyrion Lannister
187,Lharys,M,D,,Lharys,,,,A Game of Thrones,319,Tyrion IV,Tyrion Lannister
188,Godwyn,M,U,,Godwyn,,,,A Game of Thrones,350,Catelyn VI,Catelyn Tully
189,Lord Roose Bolton,M,A,Lord,Roose,Bolton,,,A Game of Thrones,341,Eddard VIII,Eddard Stark
190,Lady Tanda Stokeworth,F,D,Lady,Tanda,Stokeworth,,,A Game of Thrones,346,Eddard VIII,Eddard Stark
191,Ser Donnel Waynwood,M,A,Ser,Donnel,Waynwood,,,A Game of Thrones,349,Catelyn VI,Catelyn Tully
192,Lord Nestor Royce,M,A,Lord,Nestor,Royce,,,A Game of Thrones,354,Catelyn VI,Catelyn Tully
193,Mya Stone,F,A,,Mya,Stone,,,A Game of Thrones,358,Catelyn VI,Catelyn Tully
194,Mychel Redfort,M,A,,Mychel,Redfort,,,A Game of Thrones,359,Catelyn VI,Catelyn Tully
195,Ser Lyn Corbray,M,A,Ser,Lyn,Corbray,,,A Game of Thrones,359,Catelyn VI,Catelyn Tully
196,Ser Vardis Egen,M,D,Ser,Vardis,Egen,,,A Game of Thrones,362,Catelyn VI,Catelyn Tully
197,Heward,M,D,,Heward,,,,A Game of Thrones,366,Eddard IX,Eddard Stark
198,Wyl,M,D,,Wyl,,,,A Game of Thrones,366,Eddard IX,Eddard Stark
199,Chataya,F,A,,Chataya,,,,A Game of Thrones,367,Eddard IX,Eddard Stark
200,Barra,F,D,,Barra,,,,A Game of Thrones,368,Eddard IX,Eddard Stark
201,Lady Selyse Baratheon (Florent),F,A,Lady,Selyse,Baratheon,Florent,,A Game of Thrones,368,Eddard IX,Eddard Stark
202,Tregar,M,D,,Tregar,,,,A Game of Thrones,371,Eddard IX,Eddard Stark
203,Joseth,M,U,,Joseth,,,,A Game of Thrones,383,Bran V,Bran Stark
204,Kyra,F,D,,Kyra,,,,A Game of Thrones,384,Bran V,Bran Stark
205,Bessa,F,D,,Bessa,,,,A Game of Thrones,385,Bran V,Bran Stark
206,Stiv,M,D,,Stiv,,,,A Game of Thrones,390,Bran V,Bran Stark
207,Hali,F,D,,Hali,,,,A Game of Thrones,390,Bran V,Bran Stark
208,Osha,F,A,,Osha,,,,A Game of Thrones,390,Bran V,Bran Stark
209,Farlen,M,D,,Farlen,,,,A Game of Thrones,391,Bran V,Bran Stark
210,Quent,M,U,,Quent,,,,A Game of Thrones,394,Bran V,Bran Stark
211,Wallen,M,D,,Wallen,,,,A Game of Thrones,395,Bran V,Bran Stark
212,Wayn,M,U,,Wayn,,,,A Game of Thrones,395,Bran V,Bran Stark
213,Mord,M,A,,Mord,,,,A Game of Thrones,395,Bran V,Bran Stark
214,Ser Albar Royce,M,A,Ser,Albar,Royce,,,A Game of Thrones,405,Tyrion V,Tyrion Lannister
215,Lord Eon Hunter,M,D,Lord,Eon,Hunter,,,A Game of Thrones,405,Tyrion V,Tyrion Lannister
216,Lady Anya Waynwood,F,A,Lady,Anya,Waynwood,,,A Game of Thrones,405,Tyrion V,Tyrion Lannister
217,Martyn Cassel,M,D,,Martyn,Cassel,,,A Game of Thrones,409,Eddard X,Eddard Stark
218,Theo Wull,M,D,,Theo,Wull,,,A Game of Thrones,409,Eddard X,Eddard Stark
219,Ethan Glover,M,D,,Ethan,Glover,,,A Game of Thrones,409,Eddard X,Eddard Stark
220,Ser Mark Ryswell,M,D,Ser,Mark,Ryswell,,,A Game of Thrones,409,Eddard X,Eddard Stark
221,Lord Willam Dustin,M,D,Lord,Willam,Dustin,,,A Game of Thrones,409,Eddard X,Eddard Stark
222,Ser Oswell Whent,M,D,Ser,Oswell,Whent,,,A Game of Thrones,409,Eddard X,Eddard Stark
223,Alyssa Arryn,F,D,,Alyssa,Arryn,,,A Game of Thrones,416,Catelyn VII,Catelyn Tully
224,Lord Vance,M,D,Lord,,Vance,,,A Game of Thrones,416,Catelyn VII,Catelyn Tully
225,Lord Clement Piper,M,A,Lord,Clement,Piper,,,A Game of Thrones,416,Catelyn VII,Catelyn Tully
226,Ser Morton Waynwood,M,A,Ser,Morton,Waynwood,,,A Game of Thrones,420,Catelyn VII,Catelyn Tully
227,Gueren,M,A,,Gueren,,,,A Game of Thrones,429,Jon V,Jon Snow
228,"Matthar, Ser Loon",M,A,,Matthar,,,Ser Loon,A Game of Thrones,430,Jon V,Jon Snow
229,"Hobb, Three-finger",M,A,,Hobb,,,Three-finger,A Game of Thrones,430,Jon V,Jon Snow
230,Cuger,M,A,,Cuger,,,,A Game of Thrones,432,Jon V,Jon Snow
231,Clydas,M,A,,Clydas,,,,A Game of Thrones,433,Jon V,Jon Snow
232,Chett,M,D,,Chett,,,,A Game of Thrones,433,Jon V,Jon Snow
233,"Gunthor, Son of Gurn",M,A,,Gunthor,,,Son of Gurn,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
234,Gurn,M,U,,Gurn,,,,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
235,"Shagga, Son of Dolf",M,A,,Shagga,,,Son of Dolf,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
236,Dolf,M,U,,Dolf,,,,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
237,"Conn, Son of Coratt",M,D,,Conn,,,Son of Coratt,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
238,Coratt,M,U,,Coratt,,,,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
239,Torrek,M,A,,Torrek,,,,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
240,Jaggot,M,A,,Jaggot,,,,A Game of Thrones,444,Tyrion VI,Tyrion Lannister
241,Ser Karyl Vance,M,A,Ser,Karyl,Vance,,,A Game of Thrones,447,Eddard XI,Eddard Stark
242,Ser Arys Oakheart,M,D,Ser,Arys,Oakheart,,,A Game of Thrones,447,Eddard XI,Eddard Stark
243,Joss,M,A,,Joss,,,,A Game of Thrones,447,Eddard XI,Eddard Stark
244,Ser Marq Piper,M,A,Ser,Marq,Piper,,,A Game of Thrones,449,Eddard XI,Eddard Stark
245,Ser Gladden Wylde,M,D,Ser,Gladden,Wylde,,,A Game of Thrones,453,Eddard XI,Eddard Stark
246,Lord Lothar Mallery,M,D,Lord,Lothar,Mallery,,,A Game of Thrones,453,Eddard XI,Eddard Stark
247,Jonquil,F,F,,Jonquil,,,,A Game of Thrones,461,Sansa III,Sansa Stark
248,"Ser Florian, The Fool",M,F,Ser,Florian,,,The Fool,A Game of Thrones,461,Sansa III,Sansa Stark
